campo_padronizado,coluna_2023,coluna_2024,coluna_2025,coluna_2023_raw,coluna_2024_raw,coluna_2025_raw
cloud_preferida,p4_i_cloud_preferida,c_4_i_cloud_preferida,c_4_f_cloud_preferida,"('P4_i ', 'Cloud preferida')",4.i_cloud_preferida,4.f_cloud_preferida
cor_raca_etnia,p1_c_cor_raca_etnia,c_1_c_cor_raca_etnia,c_1_c_cor_raca_etnia,"('P1_c ', 'Cor/raca/etnia')",1.c_cor/raca/etnia,1.c_cor/raca/etnia
criterios_para_escolha_de_emprego,p2_o_quais_os_principais_criterios_que_voce_leva_em_consideracao_no_momento_de_decidir_onde_trabalhar,c_2_o_criterios_para_escolha_de_emprego,c_2_o_criterios_para_escolha_de_emprego,"('P2_o ', 'Quais os principais critérios que você leva em consideração no momento de decidir onde trabalhar?')",2.o_criterios_para_escolha_de_emprego,2.o_criterios_para_escolha_de_emprego
data_hora_envio,,c_0_d_data_hora_envio,c_0_d_data_hora_envio,,0.d_data/hora_envio,0.d_data/hora_envio
desafios_como_gestor,p3_d_quais_sao_os_3_maiores_desafios_que_voce_tem_como_gestor_no_atual_momento,c_3_d_desafios_como_gestor,c_3_d_desafios_como_gestor,"('P3_d ', 'Quais são os 3 maiores desafios que você tem como gestor no atual momento?')",3.d_desafios_como_gestor,3.d_desafios_como_gestor
empresa_esta_conseguindo_ter_bons_resultados_com_llms,,,c_3_g_empresa_esta_conseguindo_ter_bons_resultados_com_llms,,,3.g_empresa_está_conseguindo_ter_bons_resultados_com_llms
empresa_passou_por_layoff_em_2024,p2_q_empresa_que_trabaha_passou_por_layoff_em_2023,c_2_q_empresa_passou_por_layoff_em_2024,c_2_p_empresa_passou_por_layoff_em_2025,"('P2_q ', 'Empresa que trabaha passou por layoff em 2023')",2.q_empresa_passou_por_layoff_em_2024,2.p_empresa_passou_por_layoff_em_2025
estado_de_origem,p1_k_regiao_de_origem,c_1_k_estado_de_origem,c_1_k_estado_de_origem,"('P1_k ', 'Regiao de origem')",1.k_estado_de_origem,1.k_estado_de_origem
estado_onde_mora,p1_i_estado_onde_mora,c_1_i_estado_onde_mora,c_1_i_estado_onde_mora,"('P1_i ', 'Estado onde mora')",1.i_estado_onde_mora,1.i_estado_onde_mora
experiencia_em_processos_seletivos,p5_d_como_tem_sido_a_busca_por_um_emprego_na_area_de_dados,c_5_d_experiencia_em_processos_seletivos,c_5_d_experiencia_em_processos_seletivos,"('P5_d ', 'Como tem sido a busca por um emprego na área de dados?')",5.d_experiencia_em_processos_seletivos,5.d_experiencia_em_processos_seletivos
experiencia_profissional_prejudicada,p1_e_experiencia_profissional_prejudicada,c_1_e_experiencia_profissional_prejudicada,c_1_e_experiencia_profissional_prejudicada,"('P1_e ', 'experiencia_profissional_prejudicada')",1.e_experiencia_profissional_prejudicada,1.e_experiencia_profissional_prejudicada
faixa_idade,p1_a_1_faixa_idade,c_1_a_1_faixa_idade,c_1_a_1_faixa_idade,"('P1_a_1 ', 'Faixa idade')",1.a.1_faixa_idade,1.a.1_faixa_idade
faixa_salarial,p2_h_faixa_salarial,c_2_h_faixa_salarial,c_2_h_faixa_salarial,"('P2_h ', 'Faixa salarial')",2.h_faixa_salarial,2.h_faixa_salarial
ferramenta_de_bi_dia_a_dia,p4_j_ferramenta_de_bi_utilizada_no_dia_a_dia,c_4_j_ferramenta_de_bi_dia_a_dia,c_4_g_ferramenta_de_bi_dia_a_dia,"('P4_j ', 'Ferramenta de BI utilizada no dia a dia')",4.j_ferramenta_de_bi_(dia_a_dia),4.g_ferramenta_de_bi_(dia_a_dia)
ferramenta_de_bi_preferida,p4_k_qual_sua_ferramenta_de_bi_preferida,c_4_k_ferramenta_de_bi_preferida,c_4_h_ferramenta_de_bi_preferida,"('P4_k ', 'Qual sua ferramenta de BI preferida?')",4.k_ferramenta_de_bi_preferida,4.h_ferramenta_de_bi_preferida
ferramentas_autonomia_area_de_negocios,p7_c_sua_empresa_utiliza_alguma_das_ferramentas_listadas_para_dar_mais_autonomia_em_analise_de_dados_para_as,c_7_c_ferramentas_autonomia_area_de_negocios,c_7_c_ferramentas_autonomia_area_de_negocios,"('P7_c ', 'Sua empresa utiliza alguma das ferramentas listadas para dar mais autonomia em análise de dados para as áreas de negócio?')",7.c_ferramentas_autonomia_area_de_negocios,7.c_ferramentas_autonomia_area_de_negocios
ferramentas_de_qualidade_de_dados_dia_a_dia,p6_g_quais_as_ferramentas_de_gestao_de_qualidade_de_dados_metadados_e_catalogo_de_dados_voce_utiliza_no,c_6_g_ferramentas_de_qualidade_de_dados_dia_a_dia,c_6_g_ferramentas_de_qualidade_de_dados_dia_a_dia,"('P6_g ', 'Quais as ferramentas de gestão de Qualidade de dados, Metadados e catálogo de dados você utiliza no trabalho?')",6.g_ferramentas_de_qualidade_de_dados_(dia_a_dia),6.g_ferramentas_de_qualidade_de_dados_(dia_a_dia)
ferramentas_etl_da,p7_b_quais_as_ferramentas_tecnologias_de_etl_que_voce_utiliza_no_trabalho_como_data_analyst,c_7_b_ferramentas_etl_da,c_7_b_ferramentas_etl_da,"('P7_b ', 'Quais as ferramentas/tecnologias de ETL que você utiliza no trabalho como Data Analyst?')",7.b_ferramentas_etl_da,7.b_ferramentas_etl_da
ferramentas_etl_de,p6_b_quais_as_ferramentas_tecnologias_de_etl_que_voce_utiliza_no_trabalho_como_data_engineer,c_6_b_ferramentas_etl_de,c_6_b_ferramentas_etl_de,"('P6_b ', 'Quais as ferramentas/tecnologias de ETL que você utiliza no trabalho como Data Engineer?')",6.b_ferramentas_etl_de,6.b_ferramentas_etl_de
fonte_de_dado_mais_usada,p4_c_entre_as_fontes_de_dados_listadas_quais_voce_utiliza_na_maior_parte_do_tempo,c_4_c_fonte_de_dado_mais_usada,,"('P4_c ', 'Entre as fontes de dados listadas, quais você utiliza na maior parte do tempo?')",4.c_fonte_de_dado_mais_usada,
fontes_de_dados_dia_a_dia,p4_b_quais_das_fontes_de_dados_listadas_voce_ja_analisou_ou_processou_no_trabalho,c_4_b_fontes_de_dados_dia_a_dia,c_4_b_fontes_de_dados_dia_a_dia,"('P4_b ', 'Quais das fontes de dados listadas você já analisou ou processou no trabalho?')",4.b_fontes_de_dados_(dia_a_dia),4.b_fontes_de_dados_(dia_a_dia)
funcao_de_atuacao,p4_a_mesmo_que_esse_nao_seja_seu_cargo_formal_voce_considera_que_sua_atuacao_no_dia_a_dia_reflete_alguma_das,c_4_a_funcao_de_atuacao,c_4_a_funcao_de_atuacao,"('P4_a ', 'Mesmo que esse não seja seu cargo formal, você considera que sua atuação no dia a dia, reflete alguma das opções listadas abaixo?')",4.a_funcao_de_atuacao,4.a_funcao_de_atuacao
genero,p1_b_genero,c_1_b_genero,c_1_b_genero,"('P1_b ', 'Genero')",1.b_genero,1.b_genero
idade,p1_a_idade,c_1_a_idade,c_1_a_idade,"('P1_a ', 'Idade')",1.a_idade,1.a_idade
linguagem_de_programacao_dia_a_dia,p4_d_quais_das_linguagens_listadas_abaixo_voce_utiliza_no_trabalho,c_4_d_linguagem_de_programacao_dia_a_dia,,"('P4_d ', 'Quais das linguagens listadas abaixo você utiliza no trabalho?')",4.d_linguagem_de_programacao_(dia_a_dia),
linguagem_mais_usada,p4_e_entre_as_linguagens_listadas_abaixo_qual_e_a_que_voce_mais_utiliza_no_trabalho,c_4_e_linguagem_mais_usada,,"('P4_e ', 'Entre as linguagens listadas abaixo, qual é a que você mais utiliza no trabalho?')",4.e_linguagem_mais_usada,
linguagem_preferida,p4_f_entre_as_linguagens_listadas_abaixo_qual_e_a_sua_preferida,c_4_f_linguagem_preferida,c_4_c_linguagem_preferida,"('P4_f ', 'Entre as linguagens listadas abaixo, qual é a sua preferida?')",4.f_linguagem_preferida,4.c_linguagem_preferida
maior_tempo_gasto_como_da,p7_d_em_qual_das_opcoes_abaixo_voce_gasta_a_maior_parte_do_seu_tempo_de_trabalho,c_7_d_maior_tempo_gasto_como_da,c_7_d_maior_tempo_gasto_como_da,"('P7_d ', 'Em qual das opções abaixo você gasta a maior parte do seu tempo de trabalho?')",7.d_maior_tempo_gasto_como_da,7.d_maior_tempo_gasto_como_da
maior_tempo_gasto_como_de,p6_h_em_qual_das_opcoes_abaixo_voce_gasta_a_maior_parte_do_seu_tempo,c_6_h_maior_tempo_gasto_como_de,c_6_h_maior_tempo_gasto_como_de,"('P6_h ', 'Em qual das opções abaixo você gasta a maior parte do seu tempo?')",6.h_maior_tempo_gasto_como_de,6.h_maior_tempo_gasto_como_de
maior_tempo_gasto_como_ds,p8_d_em_qual_das_opcoes_abaixo_voce_gasta_a_maior_parte_do_seu_tempo_no_trabalho,c_8_d_maior_tempo_gasto_como_ds,c_8_d_maior_tempo_gasto_como_ds,"('P8_d ', 'Em qual das opções abaixo você gasta a maior parte do seu tempo no trabalho?')",8.d_maior_tempo_gasto_como_ds,8.d_maior_tempo_gasto_como_ds
modelo_de_trabalho_atual,p2_r_atualmente_qual_a_sua_forma_de_trabalho,c_2_r_modelo_de_trabalho_atual,c_2_q_modelo_de_trabalho_atual,"('P2_r ', 'Atualmente qual a sua forma de trabalho?')",2.r_modelo_de_trabalho_atual,2.q_modelo_de_trabalho_atual
modelo_de_trabalho_ideal,p2_s_qual_a_forma_de_trabalho_ideal_para_voce,c_2_s_modelo_de_trabalho_ideal,c_2_r_modelo_de_trabalho_ideal,"('P2_s ', 'Qual a forma de trabalho ideal para você?')",2.s_modelo_de_trabalho_ideal,2.r_modelo_de_trabalho_ideal
motivo_insatisfacao,p2_l_qual_o_principal_motivo_da_sua_insatisfacao_com_a_empresa_atual,c_2_l_motivo_insatisfacao,c_2_l_motivo_insatisfacao,"('P2_l ', 'Qual o principal motivo da sua insatisfação com a empresa atual?')",2.l_motivo_insatisfacao,2.l_motivo_insatisfacao
motivos_para_nao_usar_ai_generativa_e_llm,p3_g_motivos_que_levam_a_empresa_a_nao_usar_ai_genrativa_e_llms,c_3_g_motivos_para_nao_usar_ai_generativa_e_llm,c_3_h_motivos_para_nao_usar_ai_generativa_e_llm,"('P3_g ', 'Motivos que levam a empresa a não usar AI Genrativa e LLMs')",3.g_motivos_para_não_usar_ai_generativa_e_llm,3.h_motivos_para_não_usar_ai_generativa_e_llm
nivel,p2_g_nivel,c_2_g_nivel,c_2_g_nivel,"('P2_g ', 'Nivel')",2.g_nivel,2.g_nivel
nivel_de_ensino,p1_l_nivel_de_ensino,c_1_l_nivel_de_ensino,c_1_l_nivel_de_ensino,"('P1_l ', 'Nivel de Ensino')",1.l_nivel_de_ensino,1.l_nivel_de_ensino
numero_de_funcionarios,p2_c_numero_de_funcionarios,c_2_c_numero_de_funcionarios,c_2_c_numero_de_funcionarios,"('P2_c ', 'Numero de Funcionarios')",2.c_numero_de_funcionarios,2.c_numero_de_funcionarios
numero_de_pessoas_em_dados,p3_a_qual_o_numero_aproximado_de_pessoas_que_atuam_com_dados_na_sua_empresa_hoje,c_3_a_numero_de_pessoas_em_dados,c_3_a_numero_de_pessoas_em_dados,"('P3_a ', 'Qual o número aproximado de pessoas que atuam com dados na sua empresa hoje?')",3.a_numero_de_pessoas_em_dados,3.a_numero_de_pessoas_em_dados
objetivo_na_area_de_dados,p5_a_qual_seu_objetivo_na_area_de_dados,c_5_a_objetivo_na_area_de_dados,c_5_a_objetivo_na_area_de_dados,"('P5_a ', 'Qual seu objetivo na área de dados?')",5.a_objetivo_na_area_de_dados,5.a_objetivo_na_area_de_dados
oportunidade_buscada,p5_b_qual_oportunidade_voce_esta_buscando,c_5_b_oportunidade_buscada,c_5_b_oportunidade_buscada,"('P5_b ', 'Qual oportunidade você está buscando?')",5.b_oportunidade_buscada,5.b_oportunidade_buscada
pais_onde_mora,,c_1_h_pais_onde_mora,c_1_h_pais_onde_mora,,1.h_pais_onde_mora,1.h_pais_onde_mora
participou_de_entrevistas_ultimos_6m,p2_m_voce_participou_de_entrevistas_de_emprego_nos_ultimos_6_meses,c_2_m_participou_de_entrevistas_ultimos_6m,c_2_m_participou_de_entrevistas_ultimos_6m,"('P2_m ', 'Você participou de entrevistas de emprego nos últimos 6 meses?')",2.m_participou_de_entrevistas_ultimos_6m,2.m_participou_de_entrevistas_ultimos_6m
pcd,p1_d_pcd,c_1_d_pcd,c_1_d_pcd,"('P1_d ', 'PCD')",1.d_pcd,1.d_pcd
planos_de_mudar_de_emprego_6m,p2_n_voce_pretende_mudar_de_emprego_nos_proximos_6_meses,c_2_n_planos_de_mudar_de_emprego_6m,c_2_n_planos_de_mudar_de_emprego_6m,"('P2_n ', 'Você pretende mudar de emprego nos próximos 6 meses?')",2.n_planos_de_mudar_de_emprego_6m,2.n_planos_de_mudar_de_emprego_6m
possui_data_lake,p6_c_sua_organizacao_possui_um_data_lake,c_6_c_possui_data_lake,c_6_c_possui_data_lake,"('P6_c ', 'Sua organização possui um Data Lake?')",6.c_possui_data_lake,6.c_possui_data_lake
possui_data_warehouse,p6_e_sua_organizacao_possui_um_data_warehouse,c_6_e_possui_data_warehouse,c_6_e_possui_data_warehouse,"('P6_e ', 'Sua organização possui um Data Warehouse?')",6.e_possui_data_warehouse,6.e_possui_data_warehouse
regiao_de_origem,,c_1_k_2_regiao_de_origem,c_1_k_2_regiao_de_origem,,1.k.2_regiao_de_origem,1.k.2_regiao_de_origem
regiao_onde_mora,p1_i_2_regiao_onde_mora,c_1_i_2_regiao_onde_mora,c_1_i_2_regiao_onde_mora,"('P1_i_2 ', 'Regiao onde mora')",1.i.2_regiao_onde_mora,1.i.2_regiao_onde_mora
responsabilidades_como_gestor,p3_c_quais_dessas_responsabilidades_fazem_parte_da_sua_rotina_atual_de_trabalho_como_gestor,c_3_c_responsabilidades_como_gestor,c_3_c_responsabilidades_como_gestor,"('P3_c ', 'Quais dessas responsabilidades fazem parte da sua rotina atual de trabalho como gestor?')",3.c_responsabilidades_como_gestor,3.c_responsabilidades_como_gestor
rotina_como_da,p7_1_quais_das_opcoes_abaixo_fazem_parte_da_sua_rotina_no_trabalho_atual_com_analise_de_dados,c_7_a_rotina_como_da,c_7_a_rotina_como_da,"('P7_1 ', 'Quais das opções abaixo fazem parte da sua rotina no trabalho atual com análise de dados?')",7.a_rotina_como_da,7.a_rotina_como_da
rotina_como_de,p6_a_quais_das_opcoes_abaixo_fazem_parte_da_sua_rotina_no_trabalho_atual_como_engenheiro_de_dados,c_6_a_rotina_como_de,c_6_a_rotina_como_de,"('P6_a ', 'Quais das opções abaixo fazem parte da sua rotina no trabalho atual como engenheiro de dados?')",6.a_rotina_como_de,6.a_rotina_como_de
rotina_como_ds,p8_a_quais_das_opcoes_abaixo_fazem_parte_da_sua_rotina_no_trabalho_atual_com_ciencia_de_dados,c_8_a_rotina_como_ds,c_8_a_rotina_como_ds,"('P8_a ', 'Quais das opções abaixo fazem parte da sua rotina no trabalho atual com ciência de dados?')",8.a_rotina_como_ds,8.a_rotina_como_ds
satisfeito_atualmente,p2_k_voce_esta_satisfeito_na_sua_empresa_atual,c_2_k_satisfeito_atualmente,c_2_k_satisfeito_atualmente,"('P2_k ', 'Você está satisfeito na sua empresa atual?')",2.k_satisfeito_atualmente,2.k_satisfeito_atualmente
setor,p2_b_setor,c_2_b_setor,c_2_b_setor,"('P2_b ', 'Setor')",2.b_setor,2.b_setor
situacao_de_trabalho,p2_a_qual_sua_situacao_atual_de_trabalho,c_2_a_situacao_de_trabalho,c_2_a_situacao_de_trabalho,"('P2_a ', 'Qual sua situação atual de trabalho?')",2.a_situação_de_trabalho,2.a_situação_de_trabalho
tecnicas_e_metodos_ds,p8_b_quais_as_tecnicas_e_metodos_listados_abaixo_voce_costuma_utilizar_no_trabalho,c_8_b_tecnicas_e_metodos_ds,c_8_b_tecnicas_e_metodos_ds,"('P8_b ', 'Quais as técnicas e métodos listados abaixo você costuma utilizar no trabalho?')",8.b_tecnicas_e_metodos_ds,8.b_tecnicas_e_metodos_ds
tecnologia_data_lake,p6_d_qual_tecnologia_utilizada_como_plataforma_do_data_lake,c_6_d_tecnologia_data_lake,c_6_d_tecnologia_data_lake,"('P6_d ', 'Qual tecnologia utilizada como plataforma do Data Lake?')",6.d_tecnologia_data_lake,6.d_tecnologia_data_lake
tecnologia_data_warehouse,p6_f_qual_tecnologia_utilizada_como_plataforma_do_data_warehouse,c_6_f_tecnologia_data_warehouse,c_6_f_tecnologia_data_warehouse,"('P6_f ', 'Qual tecnologia utilizada como plataforma do Data Warehouse?')",6.f_tecnologia_data_warehouse,6.f_tecnologia_data_warehouse
tecnologias_ds,p8_3_quais_dessas_tecnologias_fazem_parte_do_seu_dia_a_dia_como_cientista_de_dados,c_8_c_tecnologias_ds,c_8_c_tecnologias_ds,"('P8_3 ', 'Quais dessas tecnologias fazem parte do seu dia a dia como cientista de dados?')",8.c_tecnologias_ds,8.c_tecnologias_ds
tempo_de_experiencia_em_dados,p2_i_quanto_tempo_de_experiencia_na_area_de_dados_voce_tem,c_2_i_tempo_de_experiencia_em_dados,c_2_i_tempo_de_experiencia_em_dados,"('P2_i ', 'Quanto tempo de experiência na área de dados você tem?')",2.i_tempo_de_experiencia_em_dados,2.i_tempo_de_experiencia_em_dados
tempo_de_experiencia_em_ti,p2_j_quanto_tempo_de_experiencia_na_area_de_ti_engenharia_de_software_voce_teve_antes_de_comecar_a_trabalhar,c_2_j_tempo_de_experiencia_em_ti,c_2_j_tempo_de_experiencia_em_ti,"('P2_j ', 'Quanto tempo de experiência na área de TI/Engenharia de Software você teve antes de começar a trabalhar na área de dados?')",2.j_tempo_de_experiencia_em_ti,2.j_tempo_de_experiencia_em_ti
tempo_em_busca_de_oportunidade,p5_c_ha_quanto_tempo_voce_busca_uma_oportunidade_na_area_de_dados,c_5_c_tempo_em_busca_de_oportunidade,c_5_c_tempo_em_busca_de_oportunidade,"('P5_c ', 'Há quanto tempo você busca uma oportunidade na área de dados?')",5.c_tempo_em_busca_de_oportunidade,5.c_tempo_em_busca_de_oportunidade
tipo_de_uso_de_ai_generativa_e_llm_na_empresa_visao_geral,p4_l_qual_o_tipo_de_uso_de_ai_generativa_e_llms_na_empresa,c_4_l_tipo_de_uso_de_ai_generativa_e_llm_na_empresa,c_4_i_tipo_de_uso_de_ai_generativa_e_llm_na_empresa,"('P4_l ', 'Qual o tipo de uso de AI Generativa e LLMs na empresa')",4.l_tipo_de_uso_de_ai_generativa_e_llm_na_empresa,4.i_tipo_de_uso_de_ai_generativa_e_llm_na_empresa
tipo_de_uso_de_ai_generativa_e_llm_na_empresa_visao_gestor,p3_f_tipos_de_uso_de_ai_generativa_e_llms_na_empresa,c_3_f_tipo_de_uso_de_ai_generativa_e_llm_na_empresa,c_3_f_tipo_de_uso_de_ai_generativa_e_llm_na_empresa,"('P3_f ', 'Tipos de uso de AI Generativa e LLMs na empresa')",3.f_tipo_de_uso_de_ai_generativa_e_llm_na_empresa,3.f_tipo_de_uso_de_ai_generativa_e_llm_na_empresa
token,p0_id,c_0_a_token,c_0_a_token,"('P0', 'id')",0.a_token,0.a_token
uf_de_origem,,c_1_k_1_uf_de_origem,c_1_k_1_uf_de_origem,,1.k.1_uf_de_origem,1.k.1_uf_de_origem
uf_onde_mora,p1_i_1_uf_onde_mora,c_1_i_1_uf_onde_mora,c_1_i_1_uf_onde_mora,"('P1_i_1 ', 'uf onde mora')",1.i.1_uf_onde_mora,1.i.1_uf_onde_mora
usa_chatgpt_ou_copilot_no_trabalho,p4_m_utiliza_chatgpt_ou_llms_no_trabalho,c_4_m_usa_chatgpt_ou_copilot_no_trabalho,c_4_j_usa_chatgpt_ou_copilot_no_trabalho,"('P4_m ', 'Utiliza ChatGPT ou LLMs no trabalho?')",4.m_usa_chatgpt_ou_copilot_no_trabalho?,4.j_usa_chatgpt_ou_copilot_no_trabalho?
vive_no_brasil,p1_g_vive_no_brasil,c_1_g_vive_no_brasil,c_1_g_vive_no_brasil,"('P1_g ', 'vive_no_brasil')",1.g_vive_no_brasil,1.g_vive_no_brasil
vive_no_estado_de_formacao,p1_j_mudou_de_estado,c_1_j_vive_no_estado_de_formacao,c_1_j_vive_no_estado_de_formacao,"('P1_j ', 'Mudou de Estado?')",1.j_vive_no_estado_de_formacao,1.j_vive_no_estado_de_formacao
